id,Fleet,Fleet_name,Time,Obs,Exp,SE,Dev,Use
01-bet-base,15,S01_INDEX,1,2.78968,1.81157,0.465446,0.431731,1
01-bet-base,15,S01_INDEX,2,2.10065,1.80118,0.365517,0.153804,1
01-bet-base,15,S01_INDEX,3,2.75759,1.79321,0.394884,0.430351,1
01-bet-base,15,S01_INDEX,4,2.43797,1.78864,0.301095,0.309708,1
01-bet-base,15,S01_INDEX,5,2.18891,1.77323,0.354898,0.210599,1
01-bet-base,15,S01_INDEX,6,1.81086,1.75835,0.42261,0.0294231,1
01-bet-base,15,S01_INDEX,7,2.09272,1.75361,0.416756,0.17679,1
01-bet-base,15,S01_INDEX,8,2.09901,1.74966,0.287134,0.182045,1
01-bet-base,15,S01_INDEX,9,1.62912,1.74171,0.29896,-0.0668303,1
01-bet-base,15,S01_INDEX,10,1.38475,1.73587,0.320925,-0.225988,1
01-bet-base,15,S01_INDEX,11,1.9355,1.73316,0.284957,0.110422,1
01-bet-base,15,S01_INDEX,12,2.07067,1.73377,0.243101,0.177573,1
01-bet-base,15,S01_INDEX,13,2.17812,1.72987,0.212929,0.230412,1
01-bet-base,15,S01_INDEX,14,1.79011,1.72038,0.266405,0.0397299,1
01-bet-base,15,S01_INDEX,15,2.032,1.71568,0.242044,0.16921,1
01-bet-base,15,S01_INDEX,16,2.2726,1.7156,0.172231,0.281159,1
01-bet-base,15,S01_INDEX,17,2.35126,1.70702,0.187815,0.320203,1
01-bet-base,15,S01_INDEX,18,1.56562,1.6927,0.284933,-0.0780447,1
01-bet-base,15,S01_INDEX,19,2.16593,1.68962,0.248737,0.248347,1
01-bet-base,15,S01_INDEX,20,2.51672,1.68982,0.171308,0.398333,1
01-bet-base,15,S01_INDEX,21,2.73074,1.68,0.203453,0.485779,1
01-bet-base,15,S01_INDEX,22,2.06462,1.66441,0.243764,0.215475,1
01-bet-base,15,S01_INDEX,23,2.15636,1.66061,0.220444,0.261235,1
01-bet-base,15,S01_INDEX,24,2.47346,1.66009,0.186934,0.398744,1
01-bet-base,15,S01_INDEX,25,2.80569,1.64753,0.209554,0.532374,1
01-bet-base,15,S01_INDEX,26,2.22765,1.62845,0.244521,0.313323,1
01-bet-base,15,S01_INDEX,27,2.17808,1.62299,0.236523,0.294176,1
01-bet-base,15,S01_INDEX,28,2.22148,1.62273,0.219592,0.314064,1
01-bet-base,15,S01_INDEX,29,2.37217,1.61409,0.226052,0.385038,1
01-bet-base,15,S01_INDEX,30,1.48466,1.59974,0.233779,-0.0746566,1
01-bet-base,15,S01_INDEX,31,1.5863,1.60169,0.242072,-0.00965185,1
01-bet-base,15,S01_INDEX,32,1.92996,1.609,0.198698,0.18189,1
01-bet-base,15,S01_INDEX,33,1.74896,1.60659,0.198855,0.0849052,1
01-bet-base,15,S01_INDEX,34,1.40591,1.59254,0.199638,-0.124646,1
01-bet-base,15,S01_INDEX,35,1.59289,1.5973,0.225717,-0.00276644,1
01-bet-base,15,S01_INDEX,36,1.60756,1.60595,0.213258,0.000995831,1
01-bet-base,15,S01_INDEX,37,1.71012,1.60636,0.205627,0.062589,1
01-bet-base,15,S01_INDEX,38,1.39868,1.60126,0.223362,-0.135266,1
01-bet-base,15,S01_INDEX,39,1.15522,1.60442,0.236695,-0.328473,1
01-bet-base,15,S01_INDEX,40,1.5595,1.6102,0.224056,-0.0319928,1
01-bet-base,15,S01_INDEX,41,1.28765,1.61285,0.19543,-0.225184,1
01-bet-base,15,S01_INDEX,42,1.3844,1.60893,0.186452,-0.150302,1
01-bet-base,15,S01_INDEX,43,1.25879,1.61286,0.198213,-0.24786,1
01-bet-base,15,S01_INDEX,44,1.47156,1.61725,0.162797,-0.0944072,1
01-bet-base,15,S01_INDEX,45,1.49097,1.61513,0.169781,-0.0799935,1
01-bet-base,15,S01_INDEX,46,1.3199,1.59333,0.178318,-0.188273,1
01-bet-base,15,S01_INDEX,47,1.20146,1.56487,0.185207,-0.264266,1
01-bet-base,15,S01_INDEX,48,1.33403,1.52694,0.161737,-0.135058,1
01-bet-base,15,S01_INDEX,49,1.44612,1.4734,0.165945,-0.0186829,1
01-bet-base,15,S01_INDEX,50,1.1293,1.41785,0.193041,-0.227546,1
01-bet-base,15,S01_INDEX,51,0.977617,1.37645,0.160657,-0.342145,1
01-bet-base,15,S01_INDEX,52,1.24874,1.34674,0.140761,-0.0755519,1
01-bet-base,15,S01_INDEX,53,1.51254,1.32267,0.165968,0.134139,1
01-bet-base,15,S01_INDEX,54,1.06083,1.30164,0.166774,-0.20458,1
01-bet-base,15,S01_INDEX,55,1.15053,1.29092,0.161497,-0.115131,1
01-bet-base,15,S01_INDEX,56,1.35441,1.28437,0.145404,0.0530947,1
01-bet-base,15,S01_INDEX,57,1.4993,1.2771,0.165932,0.16041,1
01-bet-base,15,S01_INDEX,58,1.04495,1.2676,0.18653,-0.193155,1
