id,Year,B.Bmsy,F.Fmsy
04-start-1952,1952,4.63523,0.0162644
04-start-1952,1953,4.66801,0.184501
04-start-1952,1954,4.3128,1.47749
04-start-1952,1955,2.00785,0.882993
04-start-1952,1956,1.72962,0.719299
04-start-1952,1957,1.69816,0.645978
04-start-1952,1958,1.70314,1.13775
04-start-1952,1959,1.35231,0.979418
04-start-1952,1960,1.31003,1.03892
04-start-1952,1961,1.27146,1.84603
04-start-1952,1962,0.85042,1.75109
04-start-1952,1963,0.741782,2.11423
04-start-1952,1964,0.562328,1.14589
04-start-1952,1965,0.738331,1.34498
04-start-1952,1966,0.733211,1.70759
04-start-1952,1967,0.647386,0.881031
04-start-1952,1968,0.848438,0.647017
04-start-1952,1969,1.05394,0.570179
04-start-1952,1970,1.26062,1.26027
04-start-1952,1971,1.00591,1.81954
04-start-1952,1972,0.720464,1.831
04-start-1952,1973,0.650143,1.79646
04-start-1952,1974,0.617518,1.67531
04-start-1952,1975,0.642878,1.24143
04-start-1952,1976,0.732918,1.14319
04-start-1952,1977,0.777695,0.573527
04-start-1952,1978,0.98253,1.15576
04-start-1952,1979,0.872044,1.19895
04-start-1952,1980,0.815574,0.801088
04-start-1952,1981,1.05858,1.45976
04-start-1952,1982,0.921809,1.84589
04-start-1952,1983,0.718579,1.20718
04-start-1952,1984,0.761058,1.26141
04-start-1952,1985,0.77027,1.23064
04-start-1952,1986,0.683729,1.16724
04-start-1952,1987,0.659598,1.1925
04-start-1952,1988,0.569562,1.70056
04-start-1952,1989,0.508803,2.42259
04-start-1952,1990,0.48326,1.63657
04-start-1952,1991,0.530662,1.2839
04-start-1952,1992,0.598418,0.966643
04-start-1952,1993,0.717408,1.15774
04-start-1952,1994,0.802935,1.72588
04-start-1952,1995,0.708404,1.55643
04-start-1952,1996,0.773836,1.41171
04-start-1952,1997,0.74276,1.3193
04-start-1952,1998,0.804931,1.70345
04-start-1952,1999,1.00708,1.39517
04-start-1952,2000,1.04204,1.05137
04-start-1952,2001,1.1943,1.00117
04-start-1952,2002,1.18793,1.08415
04-start-1952,2003,1.03549,1.55816
04-start-1952,2004,0.842661,1.47024
04-start-1952,2005,0.740343,1.13244
04-start-1952,2006,0.862591,0.953345
04-start-1952,2007,0.949862,0.800809
04-start-1952,2008,1.02203,0.945435
04-start-1952,2009,0.960189,0.971136
04-start-1952,2010,0.926117,1.03815
04-start-1952,2011,0.81523,1.39111
04-start-1952,2012,0.60524,1.71381
04-start-1952,2013,0.420468,1.48492
04-start-1952,2014,0.423864,1.91685
04-start-1952,2015,0.350159,2.11229
04-start-1952,2016,0.290631,1.94204
04-start-1952,2017,0.303645,1.66335
04-start-1952,2018,0.315693,1.80577
04-start-1952,2019,0.308357,1.78529
04-start-1952,2020,0.275415,1.81504
04-start-1952,2021,0.252091,1.9011
04-start-1952,2022,0.327752,1.27371
04-start-1952,2023,0.446497,1.27371
