Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,04-start-1952
Catch_like,0.00427353,9.64337e-05,0.000539016,0.000433014,4.40414e-05,0.000119285,0.000263029,0.000307953,0.000244464,0.000153636,0.00148973,8.75555e-05,0.000113344,0.000269693,0.000112335,0,04-start-1952
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,04-start-1952
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04-start-1952
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,04-start-1952
Surv_like,-16.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.132,04-start-1952
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,04-start-1952
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04-start-1952
Length_lambda,,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,04-start-1952
Length_like,553.227,7.74823,28.5286,15.4704,0,5.95398,42.7431,66.517,0.753158,0,21.5862,151.195,163.647,2.68779,41.6607,4.7364,04-start-1952
Length_N_use,,25,16,23,0,17,42,44,1,0,20,84,113,2,50,23,04-start-1952
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04-start-1952
SizeFreq_lambda:_1,,1,1,1,,,1,1,,1,1,,,,,1,04-start-1952
SizeFreq_like:_1,914.775,1.22243,101.576,35.6529,,,399.531,207.394,,55.0707,107.105,,,,,7.22388,04-start-1952
