"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SSB_Virgin" "SSB_Virgin" 11303 104.427 NA NA
"SSB_Initial" "SSB_Initial" 11303 104.427 NA NA
"SSB_1952" "SSB_1952" 11870.5 893.1 NA NA
"SSB_1953" "SSB_1953" 11954.5 878.697 NA NA
"SSB_1954" "SSB_1954" 11044.8 888.673 NA NA
"SSB_1955" "SSB_1955" 5141.97 876.037 NA NA
"SSB_1956" "SSB_1956" 4429.46 813.867 NA NA
"SSB_1957" "SSB_1957" 4348.88 790.97 NA NA
"SSB_1958" "SSB_1958" 4361.64 776.279 NA NA
"SSB_1959" "SSB_1959" 3463.17 719.49 NA NA
"SSB_1960" "SSB_1960" 3354.91 688.364 NA NA
"SSB_1961" "SSB_1961" 3256.12 665.525 NA NA
"SSB_1962" "SSB_1962" 2177.87 574.869 NA NA
"SSB_1963" "SSB_1963" 1899.66 498.499 NA NA
"SSB_1964" "SSB_1964" 1440.09 449.877 NA NA
"SSB_1965" "SSB_1965" 1890.82 520.511 NA NA
"SSB_1966" "SSB_1966" 1877.71 596.18 NA NA
"SSB_1967" "SSB_1967" 1657.91 612.05 NA NA
"SSB_1968" "SSB_1968" 2172.8 675.612 NA NA
"SSB_1969" "SSB_1969" 2699.07 755.701 NA NA
"SSB_1970" "SSB_1970" 3228.38 772.904 NA NA
"SSB_1971" "SSB_1971" 2576.08 665.065 NA NA
"SSB_1972" "SSB_1972" 1845.06 542.69 NA NA
"SSB_1973" "SSB_1973" 1664.97 478.72 NA NA
"SSB_1974" "SSB_1974" 1581.42 466.083 NA NA
"SSB_1975" "SSB_1975" 1646.37 485.666 NA NA
"SSB_1976" "SSB_1976" 1876.96 492.808 NA NA
"SSB_1977" "SSB_1977" 1991.63 489.211 NA NA
"SSB_1978" "SSB_1978" 2516.2 484.606 NA NA
"SSB_1979" "SSB_1979" 2233.25 409.753 NA NA
"SSB_1980" "SSB_1980" 2088.63 389.849 NA NA
"SSB_1981" "SSB_1981" 2710.95 383.194 NA NA
"SSB_1982" "SSB_1982" 2360.69 342.992 NA NA
"SSB_1983" "SSB_1983" 1840.24 313.943 NA NA
"SSB_1984" "SSB_1984" 1949.02 317.696 NA NA
"SSB_1985" "SSB_1985" 1972.61 304.846 NA NA
"SSB_1986" "SSB_1986" 1750.99 291.611 NA NA
"SSB_1987" "SSB_1987" 1689.19 263.62 NA NA
"SSB_1988" "SSB_1988" 1458.61 263.615 NA NA
"SSB_1989" "SSB_1989" 1303.01 283.868 NA NA
"SSB_1990" "SSB_1990" 1237.6 251.088 NA NA
"SSB_1991" "SSB_1991" 1358.99 279.122 NA NA
"SSB_1992" "SSB_1992" 1532.51 311.655 NA NA
"SSB_1993" "SSB_1993" 1837.24 343.407 NA NA
"SSB_1994" "SSB_1994" 2056.27 380.709 NA NA
"SSB_1995" "SSB_1995" 1814.18 356.1 NA NA
"SSB_1996" "SSB_1996" 1981.75 330.495 NA NA
"SSB_1997" "SSB_1997" 1902.16 303.066 NA NA
"SSB_1998" "SSB_1998" 2061.38 314.828 NA NA
"SSB_1999" "SSB_1999" 2579.06 336.064 NA NA
