"Value" "Parm_StDev" "type" "Yr"
"Early_InitAge_10" 0.020387 0.201864 "Early_InitAge" 1942
"Early_InitAge_9" 0.00873497 0.200842 "Early_InitAge" 1943
"Early_InitAge_8" 0.0125718 0.201193 "Early_InitAge" 1944
"Early_InitAge_7" 0.0181356 0.201681 "Early_InitAge" 1945
"Early_InitAge_6" 0.0262374 0.202358 "Early_InitAge" 1946
"Early_InitAge_5" 0.038058 0.203292 "Early_InitAge" 1947
"Early_InitAge_4" 0.054719 0.204515 "Early_InitAge" 1948
"Early_InitAge_3" 0.072698 0.205391 "Early_InitAge" 1949
"Early_InitAge_2" 0.0763372 0.2045 "Early_InitAge" 1950
"Early_InitAge_1" 0.0960772 0.2048 "Early_InitAge" 1951
"Main_RecrDev_1952" 0.15948 0.202883 "Main_RecrDev" 1952
"Main_RecrDev_1953" 0.186926 0.199728 "Main_RecrDev" 1953
"Main_RecrDev_1954" 0.143942 0.196831 "Main_RecrDev" 1954
"Main_RecrDev_1955" 0.0961254 0.19601 "Main_RecrDev" 1955
"Main_RecrDev_1956" 0.0863427 0.194277 "Main_RecrDev" 1956
"Main_RecrDev_1957" 0.116659 0.195168 "Main_RecrDev" 1957
"Main_RecrDev_1958" 0.131548 0.195544 "Main_RecrDev" 1958
"Main_RecrDev_1959" 0.139441 0.19337 "Main_RecrDev" 1959
"Main_RecrDev_1960" 0.13357 0.193686 "Main_RecrDev" 1960
"Main_RecrDev_1961" 0.141827 0.190806 "Main_RecrDev" 1961
"Main_RecrDev_1962" 0.0902851 0.189895 "Main_RecrDev" 1962
"Main_RecrDev_1963" 0.0266074 0.191487 "Main_RecrDev" 1963
"Main_RecrDev_1964" 0.0296857 0.192731 "Main_RecrDev" 1964
"Main_RecrDev_1965" 0.0116891 0.192353 "Main_RecrDev" 1965
"Main_RecrDev_1966" -0.00543987 0.191912 "Main_RecrDev" 1966
"Main_RecrDev_1967" -0.0231532 0.191898 "Main_RecrDev" 1967
"Main_RecrDev_1968" -0.00985652 0.191105 "Main_RecrDev" 1968
"Main_RecrDev_1969" 0.00673945 0.188482 "Main_RecrDev" 1969
"Main_RecrDev_1970" -0.0388372 0.183766 "Main_RecrDev" 1970
"Main_RecrDev_1971" -0.056397 0.183817 "Main_RecrDev" 1971
"Main_RecrDev_1972" -0.0133668 0.183758 "Main_RecrDev" 1972
"Main_RecrDev_1973" -0.027889 0.185524 "Main_RecrDev" 1973
"Main_RecrDev_1974" 0.00293542 0.184748 "Main_RecrDev" 1974
"Main_RecrDev_1975" -0.098786 0.181851 "Main_RecrDev" 1975
"Main_RecrDev_1976" -0.123238 0.178571 "Main_RecrDev" 1976
"Main_RecrDev_1977" -0.0157495 0.17173 "Main_RecrDev" 1977
"Main_RecrDev_1978" -0.0455554 0.152087 "Main_RecrDev" 1978
"Main_RecrDev_1979" 0.136517 0.142132 "Main_RecrDev" 1979
"Main_RecrDev_1980" 0.166754 0.135971 "Main_RecrDev" 1980
"Main_RecrDev_1981" 0.0235415 0.12491 "Main_RecrDev" 1981
"Main_RecrDev_1982" -0.231604 0.145269 "Main_RecrDev" 1982
"Main_RecrDev_1983" -0.0236363 0.137543 "Main_RecrDev" 1983
"Main_RecrDev_1984" -0.301357 0.140095 "Main_RecrDev" 1984
"Main_RecrDev_1985" -0.231552 0.132787 "Main_RecrDev" 1985
"Main_RecrDev_1986" -0.488284 0.139885 "Main_RecrDev" 1986
"Main_RecrDev_1987" -0.054112 0.148936 "Main_RecrDev" 1987
"Main_RecrDev_1988" 0.272387 0.146144 "Main_RecrDev" 1988
"Main_RecrDev_1989" -0.016406 0.152978 "Main_RecrDev" 1989
