year,month,ts,fishery,bin,value,week
1988,8,147,8,162,0,1
1988,8,147,8,164,0,1
1988,8,147,8,166,0,1
1988,8,147,8,168,0,1
1988,8,147,8,170,0,1
1988,8,147,8,172,0,1
1988,8,147,8,174,0,1
1988,8,147,8,176,0,1
1988,8,147,8,178,0,1
1988,8,147,8,180,0,1
1988,8,147,8,182,0,1
1988,8,147,8,184,0,1
1988,8,147,8,186,0,1
1988,8,147,8,188,0,1
1988,8,147,8,190,0,1
1988,8,147,8,192,0,1
1988,8,147,8,194,0,1
1988,8,147,8,196,0,1
1988,8,147,8,198,0,1
1988,11,148,8,10,0,1
1988,11,148,8,12,0,1
1988,11,148,8,14,0,1
1988,11,148,8,16,0,1
1988,11,148,8,18,0,1
1988,11,148,8,20,0,1
1988,11,148,8,22,0,1
1988,11,148,8,24,0,1
1988,11,148,8,26,0,1
1988,11,148,8,28,0,1
1988,11,148,8,30,0,1
1988,11,148,8,32,0,1
1988,11,148,8,34,0,1
1988,11,148,8,36,2.86634100895066,1
1988,11,148,8,38,2.86634100895066,1
1988,11,148,8,40,2.86634100895066,1
1988,11,148,8,42,31.2325180869005,1
1988,11,148,8,44,57.8355340197746,1
1988,11,148,8,46,14.5821254064214,1
1988,11,148,8,48,18.427672479097,1
1988,11,148,8,50,13.2484213666016,1
1988,11,148,8,52,16.5865546118969,1
1988,11,148,8,54,28.9258535194728,1
1988,11,148,8,56,40.3854400230944,1
1988,11,148,8,58,48.9668996290426,1
1988,11,148,8,60,55.9216599582571,1
1988,11,148,8,62,106.064350207472,1
1988,11,148,8,64,82.5536545070009,1
1988,11,148,8,66,48.0373973723136,1
1988,11,148,8,68,10.8103282773378,1
1988,11,148,8,70,2.86634100895066,1
1988,11,148,8,72,2.86634100895066,1
1988,11,148,8,74,0,1
1988,11,148,8,76,0,1
1988,11,148,8,78,0,1
1988,11,148,8,80,0.421206811706856,1
1988,11,148,8,82,0.421206811706856,1
1988,11,148,8,84,0,1
1988,11,148,8,86,0,1
1988,11,148,8,88,0,1
1988,11,148,8,90,0,1
1988,11,148,8,92,0,1
1988,11,148,8,94,0,1
1988,11,148,8,96,0,1
1988,11,148,8,98,2.86634100895066,1
1988,11,148,8,100,0,1
1988,11,148,8,102,0,1
1988,11,148,8,104,0,1
1988,11,148,8,106,0,1
1988,11,148,8,108,0,1
1988,11,148,8,110,0,1
1988,11,148,8,112,0,1
1988,11,148,8,114,2.86634100895066,1
1988,11,148,8,116,0,1
1988,11,148,8,118,0,1
1988,11,148,8,120,0,1
1988,11,148,8,122,0,1
1988,11,148,8,124,0,1
1988,11,148,8,126,0,1
1988,11,148,8,128,0,1
1988,11,148,8,130,0,1
1988,11,148,8,132,0,1
1988,11,148,8,134,0,1
1988,11,148,8,136,0,1
1988,11,148,8,138,0,1
1988,11,148,8,140,0,1
1988,11,148,8,142,0,1
1988,11,148,8,144,0,1
1988,11,148,8,146,0,1
1988,11,148,8,148,0,1
1988,11,148,8,150,0,1
1988,11,148,8,152,0,1
1988,11,148,8,154,0,1
1988,11,148,8,156,0,1
