year,month,ts,fishery,bin,value,week
1957,2,21,1,1,0,1
1957,2,21,1,2,0.174036123354316,1
1957,2,21,1,3,4.74161890947465,1
1957,2,21,1,4,25.626630562358,1
1957,2,21,1,5,43.6931925106268,1
1957,2,21,1,6,67.0672620089468,1
1957,2,21,1,7,49.1661251382957,1
1957,2,21,1,8,45.2909497733745,1
1957,2,21,1,9,32.0580020461319,1
1957,2,21,1,10,28.9093430295987,1
1957,2,21,1,11,31.3589447736498,1
1957,2,21,1,12,56.1108051333218,1
1957,2,21,1,13,81.8879829584052,1
1957,2,21,1,14,109.807986710909,1
1957,2,21,1,15,252.073063958283,1
1957,2,21,1,16,554.254043356326,1
1957,2,21,1,17,459.80453410028,1
1957,2,21,1,18,490.94671409468,1
1957,2,21,1,19,448.118533272808,1
1957,2,21,1,20,302.212814189025,1
1957,2,21,1,21,225.114207633078,1
1957,2,21,1,22,207.398706857522,1
1957,2,21,1,23,146.251939515632,1
1957,2,21,1,24,140.681829290789,1
1957,2,21,1,25,161.784424746901,1
1957,2,21,1,26,127.05169490789,1
1957,2,21,1,27,128.786407503595,1
1957,2,21,1,28,134.378378309287,1
1957,2,21,1,29,148.487687172997,1
1957,2,21,1,30,120.385099341067,1
1957,2,21,1,31,107.810992826871,1
1957,2,21,1,32,123.597530702084,1
1957,2,21,1,33,95.8026519340397,1
1957,2,21,1,34,96.7891523849936,1
1957,2,21,1,35,98.3317219118965,1
1957,2,21,1,36,89.3998385151079,1
1957,2,21,1,37,62.0149614543211,1
1957,2,21,1,38,53.0386776451047,1
1957,2,21,1,39,57.9915820042091,1
1957,2,21,1,40,45.5811406511332,1
1957,2,21,1,41,38.2232948806044,1
1957,2,21,1,42,36.4808793343011,1
1957,2,21,1,43,30.5106793612453,1
1957,2,21,1,44,19.0279688034143,1
1957,2,21,1,45,30.6180175036556,1
1957,2,21,1,46,25.1544936243551,1
1957,2,21,1,47,21.1737445662536,1
1957,2,21,1,48,37.5421192694541,1
1957,2,21,1,49,30.7849241552063,1
1957,2,21,1,50,32.653108840872,1
1957,2,21,1,51,52.7287532826108,1
1957,2,21,1,52,39.4223099505831,1
1957,2,21,1,53,62.0220243463662,1
1957,2,21,1,54,55.3409422652617,1
1957,2,21,1,55,70.3442311098362,1
1957,2,21,1,56,62.6874417825018,1
1957,2,21,1,57,73.4719173465331,1
1957,2,21,1,58,77.2836199318836,1
1957,2,21,1,59,53.2414814100685,1
1957,2,21,1,60,96.9522989713715,1
1957,2,21,1,61,95.3871527319333,1
1957,2,21,1,62,67.4975645592712,1
1957,2,21,1,63,74.5810473985254,1
1957,2,21,1,64,84.2771129071175,1
1957,2,21,1,65,49.0631477835929,1
1957,2,21,1,66,61.8276180392144,1
1957,2,21,1,67,63.6189438011293,1
1957,2,21,1,68,32.6634149764152,1
1957,2,21,1,69,55.5244950260626,1
1957,2,21,1,70,48.5683085369568,1
1957,2,21,1,71,42.2846557840598,1
1957,2,21,1,72,57.8291661360416,1
1957,2,21,1,73,49.3617785339143,1
1957,2,21,1,74,36.4837576216492,1
1957,2,21,1,75,20.9105796830614,1
1957,2,21,1,76,28.9513155112487,1
1957,2,21,1,77,27.0312070345581,1
1957,2,21,1,78,24.8058691138536,1
1957,2,21,1,79,19.890846629054,1
1957,2,21,1,80,26.0643872633387,1
1957,2,21,1,81,17.2174457320374,1
1957,2,21,1,82,27.6216761723505,1
1957,2,21,1,83,20.1302495312452,1
1957,2,21,1,84,19.5969438768316,1
1957,2,21,1,85,22.7647365846929,1
1957,2,21,1,86,24.6049745978928,1
1957,2,21,1,87,17.4861383106007,1
1957,2,21,1,88,15.6912603503967,1
1957,2,21,1,89,16.732030322879,1
1957,2,21,1,90,9.84764747654971,1
1957,2,21,1,91,17.5179648415739,1
1957,2,21,1,92,15.9788466601163,1
1957,2,21,1,93,11.2698730866486,1
1957,2,21,1,94,9.2082419375528,1
1957,2,21,1,95,19.3520976256845,1
1957,2,21,1,96,8.79837652881721,1
1957,2,21,1,97,11.6120374746937,1
1957,2,21,1,98,7.55436221321648,1
1957,2,21,1,99,8.99199583979538,1
1957,2,21,1,100,5.61578261914263,1
1957,2,21,1,101,4.34479710221453,1
1957,2,21,1,102,2.93258852308433,1
1957,2,21,1,103,6.02727246543818,1
1957,2,21,1,104,8.54232672866203,1
1957,2,21,1,105,8.8448564416606,1
1957,2,21,1,106,2.10653886278936,1
1957,2,21,1,107,5.82589827949963,1
1957,2,21,1,108,3.24750942712198,1
1957,2,21,1,109,1.88894790346726,1
1957,2,21,1,110,1.00371924183609,1
1957,2,21,1,111,3.23353532335349,1
1957,2,21,1,112,1.7508782877228,1
1957,2,21,1,113,2.53788305713767,1
1957,2,21,1,114,0.224389754113997,1
1957,2,21,1,115,2.3292148578253,1
1957,2,21,1,116,1.96663902646663,1
1957,2,21,1,117,0.662104132662253,1
1957,2,21,1,118,3.4123840525494,1
1957,2,21,1,119,0.589401699782241,1
1957,2,21,1,120,3.8790221789665,1
1957,2,21,1,121,0.224389754113997,1
1957,2,21,1,122,1.38282833084196,1
1957,2,21,1,123,0,1
1957,2,21,1,124,5.99705081185496,1
1957,2,21,1,125,0,1
1957,2,21,1,126,0,1
1957,2,21,1,127,0,1
1957,2,21,1,128,0,1
1957,2,21,1,129,0.437714378548256,1
1957,2,21,1,130,0,1
1957,2,21,1,131,0.497122341088999,1
1957,2,21,1,132,0,1
1957,2,21,1,133,0.437714378548256,1
1957,2,21,1,134,0,1
1957,2,21,1,135,0,1
1957,2,21,1,136,0,1
1957,2,21,1,137,0.497122341088999,1
1957,2,21,1,138,0,1
1957,2,21,1,139,0,1
1957,2,21,1,140,0,1
1957,2,21,1,141,0,1
1957,2,21,1,142,0,1
1957,2,21,1,143,0,1
1957,2,21,1,144,0,1
1957,2,21,1,145,0,1
1957,2,21,1,146,0,1
1957,2,21,1,147,0,1
1957,2,21,1,148,0,1
1957,2,21,1,149,0,1
1957,2,21,1,150,0,1
1957,2,21,1,151,0,1
1957,2,21,1,152,0,1
1957,2,21,1,153,0,1
1957,2,21,1,154,0,1
1957,2,21,1,155,0,1
1957,2,21,1,156,0,1
1957,2,21,1,157,0,1
1957,2,21,1,158,0,1
1957,2,21,1,159,0,1
1957,2,21,1,160,0,1
1957,2,21,1,161,0,1
1957,2,21,1,162,0,1
